День,№ Кампании,Название кампании,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽"
Итого,,,564711.91,10940,447,4.09,1263.34
01.04.2026,115971938,10. Форма | РСЯ,320.16,6,0,0.00,-
01.04.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,0.00,0,0,-,-
01.04.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,0.00,0,0,-,-
01.04.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,538.78,24,0,0.00,-
01.04.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,193.62,3,0,0.00,-
01.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,0,0,-,-
01.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,3,0,0.00,-
01.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,407.35,8,0,0.00,-
01.04.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,0.00,0,0,-,-
01.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,134.90,2,0,0.00,-
02.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,10,0,0.00,-
02.04.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,545.95,6,2,33.33,272.98
02.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,1464.00,5,1,20.00,1464.00
02.04.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,0.00,0,0,-,-
02.04.2026,115971938,10. Форма | РСЯ,4555.33,89,2,2.25,2277.67
02.04.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,884.09,13,0,0.00,-
02.04.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,593.78,13,0,0.00,-
02.04.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,2746.30,178,0,0.00,-
02.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,764.01,8,0,0.00,-
02.04.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,187.62,2,1,50.00,187.62
02.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,3049.97,56,4,7.14,762.49
03.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,1464.00,3,1,33.33,1464.00
03.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,1168.76,5,1,20.00,1168.76
03.04.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,623.49,11,1,9.09,623.49
03.04.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,2340.30,8,2,25.00,1170.15
03.04.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,65.63,1,0,0.00,-
03.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,2196.00,5,1,20.00,2196.00
03.04.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,21.59,1,0,0.00,-
03.04.2026,115971938,10. Форма | РСЯ,4837.44,93,6,6.45,806.24
03.04.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,509.32,5,1,20.00,509.32
03.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,1982.43,33,2,6.06,991.21
04.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,0.00,0,0,-,-
04.04.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,1426.15,83,0,0.00,-
04.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,4,0,0.00,-
04.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,312.87,1,0,0.00,-
04.04.2026,115971938,10. Форма | РСЯ,102.45,3,0,0.00,-
05.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,4,0,0.00,-
05.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,598.29,6,0,0.00,-
