Название кампании,№ Кампании,День,Показы,Клики,"Расход, ₽",Конверсии,"CR, %","CPA, ₽"
Итого,,,145765,1005,41572.26,42,4.18,989.82
51. na-corporate.ru | корпоративная одежда | рся,115971965,03.06.2026,16386,144,2319.03,3,2.08,773.01
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,03.06.2026,16,3,503.30,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,03.06.2026,16,2,33.14,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,03.06.2026,4518,37,2000.65,3,8.11,666.88
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,03.06.2026,45,5,855.38,0,0.00,-
10. Форма | РСЯ,115971938,03.06.2026,22766,70,3606.08,2,2.86,1803.04
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,03.06.2026,45,6,388.83,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,03.06.2026,83,4,176.99,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,03.06.2026,87,7,0.00,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,03.06.2026,400,1,0.00,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,03.06.2026,10,2,276.71,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,04.06.2026,9,3,36.03,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,04.06.2026,111,5,661.03,3,60.00,220.34
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,04.06.2026,54,6,593.89,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,04.06.2026,31,6,413.50,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,04.06.2026,114,3,0.00,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,04.06.2026,11340,60,2532.09,4,6.67,633.02
10. Форма | РСЯ,115971938,04.06.2026,15135,58,2558.84,1,1.72,2558.84
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,04.06.2026,203,2,0.00,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,04.06.2026,17,3,495.21,1,33.33,495.21
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,04.06.2026,36,8,1218.30,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,04.06.2026,8226,136,1622.42,1,0.74,1622.42
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,05.06.2026,62,4,454.45,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,05.06.2026,28,1,103.50,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,05.06.2026,44,7,1081.19,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,05.06.2026,7,1,184.99,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,05.06.2026,183,0,0.00,0,-,-
10. Форма | РСЯ,115971938,05.06.2026,7849,23,883.54,2,8.70,441.77
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,05.06.2026,6068,43,1723.37,7,16.28,246.20
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,05.06.2026,21,2,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,05.06.2026,2393,19,490.54,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,05.06.2026,15,4,360.79,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,05.06.2026,42,2,43.60,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,06.06.2026,1037,1,5.68,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,06.06.2026,2,0,0.00,0,-,-
10. Форма | РСЯ,115971938,06.06.2026,16,0,0.00,0,-,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,06.06.2026,1,0,0.00,0,-,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,06.06.2026,100,2,13.29,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,08.06.2026,6,1,295.00,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,08.06.2026,19,2,235.01,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,08.06.2026,966,3,0.00,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,08.06.2026,6440,50,2199.20,2,4.00,1099.60
51. na-corporate.ru | корпоративная одежда | рся,115971965,08.06.2026,2965,25,734.59,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,08.06.2026,9,1,7.80,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,08.06.2026,60,4,0.00,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,08.06.2026,54,7,686.47,1,14.29,686.47
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,08.06.2026,37,4,290.36,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,08.06.2026,55,5,389.78,0,0.00,-
10. Форма | РСЯ,115971938,08.06.2026,7250,27,885.26,2,7.41,442.63
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,09.06.2026,7,1,17.57,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,09.06.2026,86,3,0.00,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,09.06.2026,6756,58,3020.10,5,8.62,604.02
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,09.06.2026,47,8,1115.21,1,12.50,1115.21
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,09.06.2026,2359,6,0.00,0,0.00,-
10. Форма | РСЯ,115971938,09.06.2026,15104,57,2731.68,2,3.51,1365.84
